Sat Jul 30 22:16:00 2022    output.dat

         4156758 function calls (3123299 primitive calls) in 14.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  112/108    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:372(__init__)
       65    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.003    0.003 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1(<module>)
       69    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       83    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1821(__add__)
       28    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1489(_validate_resource_path)
       44    0.000    0.000    0.009    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2771(_get_metadata)
       26    0.000    0.000    0.007    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\traceback.py:216(extract_stack)
        1    0.000    0.000    0.001    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\appdirs.py:1(<module>)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       87    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       19    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:463(normpath)
      120    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2368(__init__)
       84    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2643(key)
        1    0.000    0.000    0.004    0.004 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\markers.py:1(<module>)
       69    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:224(__init__)
       81    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      154    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\enum.py:678(__new__)
        1    0.000    0.000    0.001    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\more_itertools\recipes.py:1(<module>)
      134    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       78    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\_distutils_hack\__init__.py:84(find_spec)
        1    0.000    0.000    0.015    0.015 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:5399(pyparsing_common)
       55    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      198    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1031(__eq__)
      408    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:393(_parse_letter_version)
        1    0.000    0.000    0.065    0.065 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\requirements.py:1(<module>)
       36    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:61(isabs)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\more_itertools\more.py:1(<module>)
       56    0.000    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\genericpath.py:39(isdir)
      506    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     94/2    0.000    0.000    0.266    0.133 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    26/13    0.000    0.000    0.160    0.012 {built-in method builtins.__import__}
      506    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       76    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
   228/99    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.006    0.006 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\more_itertools\__init__.py:1(<module>)
       65    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
    87/79    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3576(__str__)
    88/45    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1246(__hash__)
       32    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1323(safe_version)
       24    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:681(add)
      266    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3270(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      250    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       32    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:267(_remove_dups_flatten)
      339    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
      255    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       49    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:492(_get_charset_prefix)
       48    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3540(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\email\feedparser.py:532(BytesFeedParser)
      174    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:81(__eq__)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       26    0.000    0.000    0.007    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1047(extract_stack)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       12    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:523(Optional)
        1    0.000    0.000   14.951   14.951 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:607(main)
       91    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      219    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      258    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       38    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\abc.py:105(__new__)
       28    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1483(_fn)
     22/3    0.000    0.000    0.002    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3397(parseImpl)
       69    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:923(fix_flags)
      121    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:96(closegroup)
      674    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2115(__bool__)
       81    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       26    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\linecache.py:52(checkcache)
      124    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      161    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:137(_type_convert)
       35    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:258(getwhile)
       78    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\linecache.py:26(getline)
      170    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3439(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\email\quoprimime.py:55(<listcomp>)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      136    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      559    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.014    0.014 C:\Users\Babaji\miniconda3\envs\Boids\lib\shutil.py:1(<module>)
      138    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
   134/74    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1037(__hash__)
       40    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1127(__init__)
        1    0.000    0.000    0.011    0.011 C:\Users\Babaji\miniconda3\envs\Boids\lib\importlib\resources.py:1(<module>)
       17    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1222(__getitem__)
    54/10    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3762(streamline)
      195    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       36    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3781(__str__)
        8    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:638(realpath)
      155    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:65(_combine_flags)
       48    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1948(__or__)
       29    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.005    0.005 C:\Users\Babaji\miniconda3\envs\Boids\lib\logging\__init__.py:1(<module>)
       53    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2818(__getattr__)
       24    0.000    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2041(_by_version)
    23/10    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3547(parseImpl)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       78    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\linecache.py:36(getlines)
       24    0.000    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2047(<listcomp>)
       35    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2742(__str__)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       24    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2571(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:3148(_find_adapter)
       69    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:76(__init__)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.019    0.019 C:\Users\Babaji\miniconda3\envs\Boids\lib\zipfile.py:1(<module>)
      170    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2061(setWhitespaceChars)
       12    0.000    0.000    0.009    0.001 {built-in method builtins.next}
       31    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1146(copy_with)
    22/15    0.000    0.000    0.034    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       32    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      225    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1022(<genexpr>)
      112    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:363(__new__)
        9    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       24    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        4    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:350(get_provider)
       40    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1575(_parents)
      196    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.797    0.797 c:\Users\Babaji\OneDrive\Desktop\Boids_Flocking_Simulation\BoidsFlocking-QuadTree-SpatialHashing.py:534(__init__)
      133    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\abc.py:117(__instancecheck__)
        1    0.000    0.000    0.010    0.010 C:\Users\Babaji\miniconda3\envs\Boids\lib\importlib\_common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\Babaji\miniconda3\envs\Boids\lib\email\quoprimime.py:1(<module>)
       78    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\linecache.py:147(lazycache)
        1    0.000    0.000    0.010    0.010 C:\Users\Babaji\miniconda3\envs\Boids\lib\plistlib.py:1(<module>)
        1    0.000    0.000    0.009    0.009 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:1(<module>)
      124    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:301(<genexpr>)
       14    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1137(__getitem__)
        1    0.000    0.000    0.034    0.034 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py:1(<module>)
       32    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:253(_deduplicate)
       18    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:432(_generate_overlap_table)
       76    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       73    0.000    0.000    0.062    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\re.py:249(compile)
       61    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3292(<listcomp>)
    36/11    0.000    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3743(leaveWhitespace)
       45    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1190(setName)
      196    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.014    0.014 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\tags.py:1(<module>)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        9    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1548(__init_subclass__)
       76    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1351(preParse)
      104    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\traceback.py:309(walk_stack)
      435    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       22    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2813(parseImpl)
      102    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:515(<genexpr>)
       36    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2374(_is_egg_path)
       13    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1349(__init_subclass__)
        1    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\enum.py:180(__new__)
       91    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1241(__eq__)
       78    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\traceback.py:259(__init__)
       46    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2389(_is_unpacked_egg)
       21    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2707(parseImpl)
       15    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4565(_escapeRegexRangeChars)
    29/24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       12    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2873(insert_on)
       38    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4230(__init__)
      195    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3392(<genexpr>)
      134    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.001    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\dataclasses.py:1(<module>)
        4    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\functools.py:800(singledispatch)
        7    0.000    0.000    0.005    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1414(get_metadata)
        1    0.000    0.000    0.002    0.002 C:\Users\Babaji\miniconda3\envs\Boids\lib\email\charset.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       28    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\posixpath.py:60(isabs)
       19    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\genericpath.py:16(exists)
        2    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2863(__init__)
      114    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       36    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2381(_is_zip_egg)
        1    0.000    0.000    0.002    0.002 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4875(_makeTags)
        1    0.000    0.000    0.025    0.025 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\jaraco\text\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\importlib\util.py:1(<module>)
       78    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:44(normcase)
       32    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\pkgutil.py:1(<module>)
       11    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:801(__init__)
    44/32    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:401(__getitem__)
       28    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3997(__init__)
       18    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.001    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\importlib\abc.py:1(<module>)
        1    0.000    0.000    0.016    0.016 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\utils.py:1(<module>)
       24    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\re.py:202(sub)
      150    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:459(<lambda>)
        1    0.000    0.000    0.003    0.003 C:\Users\Babaji\miniconda3\envs\Boids\lib\calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\_manylinux.py:1(<module>)
       58    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:69(__lt__)
        9    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\functools.py:884(wrapper)
       17    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\copyreg.py:109(_slotnames)
        8    0.000    0.000    0.008    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2554(_version_from_file)
      165    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.008    0.008 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\jaraco\functools.py:1(<module>)
        8    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:416(_bytes_to_codes)
       94    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2366(_normalize_cached)
        4    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1589(__init__)
        1    0.000    0.000    0.041    0.041 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:3246(_initialize_master_working_set)
        5    0.000    0.000    0.056    0.011 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\extern\__init__.py:29(load_module)
        7    0.000    0.000    0.004    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1621(_get)
       12    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2782(activate)
       24    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1315(safe_name)
        6    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1207(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.readlink}
       12    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2899(<listcomp>)
       44    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\Babaji\miniconda3\envs\Boids\lib\lzma.py:1(<module>)
       19    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4017(__str__)
      136    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:432(_parse_local_version)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.006    0.006 C:\Users\Babaji\miniconda3\envs\Boids\lib\email\utils.py:1(<module>)
       12    0.000    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4251(__init__)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\tempfile.py:1(<module>)
      106    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:209(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1388(__init__)
       88    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      188    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2656(<genexpr>)
        4    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:1322(__class_getitem__)
      139    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3543(<genexpr>)
       26    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\traceback.py:288(__getitem__)
        8    0.000    0.000    0.008    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2985(_reload_version)
