Sat Jul 30 22:16:00 2022    output.dat

         4156758 function calls (3123299 primitive calls) in 14.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  324/319    0.006    0.000    0.050    0.000 {built-in method builtins.__build_class__}
       41    0.006    0.000    0.006    0.000 {built-in method nt.listdir}
     2729    0.006    0.000    0.008    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:124(splitdrive)
   742/69    0.006    0.000    0.015    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:71(_compile)
     4641    0.006    0.000    0.006    0.000 {method 'astype' of 'numpy.ndarray' objects}
    15471    0.006    0.000    0.006    0.000 {built-in method numpy.asarray}
     1547    0.006    0.000    0.006    0.000 {method 'tick' of 'Clock' objects}
    11370    0.005    0.000    0.012    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:254(get)
    15471    0.005    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\linalg\linalg.py:2345(_norm_dispatcher)
     1547    0.005    0.000    0.024    0.000 <__array_function__ internals>:177(copyto)
     4641    0.005    0.000    0.176    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\core\_methods.py:46(_sum)
      343    0.004    0.000    0.004    0.000 {built-in method winreg.EnumValue}
       72    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
      301    0.004    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:276(_optimize_charset)
     6271    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     9282    0.004    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\core\fromnumeric.py:597(_transpose_dispatcher)
     4641    0.004    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\linalg\linalg.py:116(isComplexType)
     1547    0.004    0.000    0.004    0.000 {method 'fill' of 'numpy.ndarray' objects}
     6188    0.004    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\core\fromnumeric.py:2155(_sum_dispatcher)
     1547    0.003    0.000    0.028    0.000 <__array_function__ internals>:177(fill_diagonal)
     1119    0.003    0.000    0.010    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:77(join)
  861/198    0.003    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:174(getwidth)
     4933    0.003    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:164(__getitem__)
     4318    0.002    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pygame\sysfont.py:51(<genexpr>)
     4641    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
      434    0.002    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\ntpath.py:180(split)
       78    0.002    0.000    0.039    0.001 <frozen importlib._bootstrap>:921(_find_spec)
       18    0.002    0.000    0.002    0.000 {built-in method nt._getfinalpathname}
      133    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      216    0.002    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:261(__init__)
1713/1709    0.002    0.000    0.007    0.000 {method 'join' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
       75    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.002    0.002    0.023    0.023 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pygame\sysfont.py:61(initsysfonts_win32)
     4641    0.002    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\core\multiarray.py:736(dot)
      349    0.002    0.000    0.008    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pygame\sysfont.py:119(_parse_font_entry_win)
      133    0.002    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
   289/69    0.002    0.000    0.041    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:435(_parse_sub)
     4641    0.002    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\numpy\core\numeric.py:421(_count_nonzero_dispatcher)
      471    0.002    0.000    0.005    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\copy.py:66(copy)
     4733    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
